,links,id,objectNumber,title,hasImage,principalOrFirstMaker,longTitle,showImage,permitDownload,webImage,headerImage,productionPlaces
0,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3580', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3580'}",,SK-A-3580,The Singel Bridge at the Paleisstraat in Amsterdam,True,,,False,False,,,[]
1,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-447', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-447'}",,SK-A-447,Fishing for Souls,True,,,False,False,,,[]
2,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4'}",,SK-A-4,The Threatened Swan,True,,,False,False,,,[]
3,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-404', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-404'}",,SK-A-404,"Gallant Conversation, Known as ‘The Paternal Admonition’",True,,,False,False,,,[]
4,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1365', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1365'}",,SK-A-1365,The Battle of Terheide,True,,,False,False,,,[]
5,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3064', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3064'}",,SK-A-3064,Portrait of a Girl Dressed in Blue,True,,,False,False,,,[]
6,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2860', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2860'}",,SK-A-2860,"View of Houses in Delft, Known as The Little Street",True,,,False,False,,,[]
7,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-109', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-109'}",,SK-C-109,Italian Landscape with a Draughtsman,True,,,False,False,,,[]
8,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2344', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2344'}",,SK-A-2344,The Milkmaid,True,,,False,False,,,[]
9,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-799', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-799'}",,SK-A-799,Floral Still Life,True,,,False,False,,,[]
